step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
112,True,,,,,4.017685114376945e-06,0.0,1.2235506119395723e-06,6.464786565629765e-06,0.0,0.0,0.0,0.0,2.478077476553153e-07,0.009809492843037206
113,True,,,,,6.711204605380772e-06,0.0,3.3707906368363183e-06,1.3452785424306057e-05,0.0,0.0,0.0,0.0,2.783085335522628e-07,0.009805313486793848
114,True,,,,,8.84483779373113e-06,0.0,3.439740567046101e-06,1.5724319382570684e-05,0.0,0.0,0.0,0.0,2.755726313807827e-07,0.009801089796361455
115,True,,,,,6.721701993228635e-06,0.0,2.5599892978789285e-06,1.1841681043733843e-05,0.0,0.0,0.0,0.0,2.893876001053286e-07,0.009796821815233695
116,True,,,,,1.9945334770454792e-06,0.0,5.88963189329661e-07,3.172459855704801e-06,0.0,0.0,0.0,0.0,1.8338525364924863e-07,0.00979250958736033
117,True,,,,,6.234543889149791e-06,0.0,1.838542061705084e-06,9.911627785186283e-06,0.0,0.0,0.0,0.0,2.104128640212366e-07,0.009788153157146748
118,True,,,,,9.33055707719177e-06,0.0,3.529357854858972e-06,1.6389272786909714e-05,0.0,0.0,0.0,0.0,3.776769688101922e-07,0.009783752569453512
119,True,,,,,8.736267773201689e-06,0.0,3.1922618290991522e-06,1.5120791431399994e-05,0.0,0.0,0.0,0.0,3.532016421559092e-07,0.009779307869595908
120,True,,,,,3.566918530850671e-05,0.0,2.0351639250293374e-05,7.637246744707227e-05,0.0,0.0,0.0,0.0,1.5535553075096686e-06,0.00977481910334346
121,True,,,,,9.388915714225732e-06,0.0,4.186297701380681e-06,1.7761511116987094e-05,0.0,0.0,0.0,0.0,3.3892172268679133e-07,0.00977028631691947
122,True,,,,,5.404220246418845e-06,0.0,1.2592978464454063e-06,7.922815711935982e-06,0.0,0.0,0.0,0.0,1.9138381901484536e-07,0.009765709557000546
123,True,,,,,4.2198946175631136e-05,0.0,2.2507101675728336e-05,8.721314952708781e-05,0.0,0.0,0.0,0.0,1.38634050017572e-06,0.009761088870716104
124,True,,,,,7.584545528516173e-06,0.0,3.5100156310363673e-06,1.4604576790588908e-05,0.0,0.0,0.0,0.0,3.180822716331022e-07,0.00975642430564791
125,True,,,,,1.4938245840312447e-06,0.0,4.441238559138583e-07,2.38207235270238e-06,0.0,0.0,0.0,0.0,1.5638440231668937e-07,0.009751715909829557
126,True,,,,,7.326080776692834e-06,0.0,3.142346713502775e-06,1.3610773748951033e-05,0.0,0.0,0.0,0.0,2.593073702428228e-07,0.009746963731745996
127,True,,,,,7.61755472922232e-06,0.0,2.6676450488594128e-06,1.2952845281688496e-05,0.0,0.0,0.0,0.0,2.972072934426251e-07,0.009742167820333034
128,True,,,,,2.7612875328486552e-06,0.0,7.339024250541115e-07,4.229092155583203e-06,0.0,0.0,0.0,0.0,2.3205947741189448e-07,0.00973732822497681
129,True,,,,,6.846769792900886e-06,0.0,2.4640262381581124e-06,1.1774822269217111e-05,0.0,0.0,0.0,0.0,2.891108010771859e-07,0.00973244499551331
130,True,,,,,7.061309588607401e-06,0.0,2.3486732061428484e-06,1.1758656000893097e-05,0.0,0.0,0.0,0.0,2.2553265921487764e-07,0.009727518182227847
131,True,,,,,4.380328846309567e-06,0.0,2.79665800917428e-06,9.973644409910776e-06,0.0,0.0,0.0,0.0,3.842769729089923e-07,0.009722547835854533
132,True,,,,,7.980012014741078e-06,0.0,2.9824202556483215e-06,1.3944852980785072e-05,0.0,0.0,0.0,0.0,3.053628176985512e-07,0.009717534007575768
133,True,,,,,5.680513822881039e-06,0.0,1.0278081390424632e-06,7.736130100965966e-06,0.0,0.0,0.0,0.0,1.953145130073608e-07,0.009712476749021709
134,True,,,,,3.4345830499660224e-05,0.0,1.9086824977421202e-05,7.251948409248143e-05,0.0,0.0,0.0,0.0,1.4353973938341369e-06,0.009707376112269737
135,True,,,,,1.3536802725866437e-05,0.0,5.892685294384137e-06,2.532217331463471e-05,0.0,0.0,0.0,0.0,5.037575192545773e-07,0.009702232149843929
