step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,teacher_gradient_norm,preservation_gradient_norm
100,True,,,,0.0012963329209014773,0.0,,,,,,0.0021585370413959026,0.05965406075119972,8.420563244726509e-05,0.009462379850447178,0.0,0.0,0.0,0.0,8.601324225310236e-05,0.009964659264604707,8.220134806165808e-05,2.4488972526507053e-05,6.909926451107878e-06
101,True,,,,0.0006125138606876135,0.0,,,,,,0.004127458669245243,0.07279633730649948,6.99047523085028e-05,0.012054558843374252,0.0,0.0,0.0,0.0,9.850475180428475e-05,0.009963760110183599,,,
102,True,,,,0.0009706895798444748,0.0,,,,,,0.0033643662463873625,0.06608103960752487,0.00010518656199565157,0.010995753109455109,0.0,0.0,0.0,0.0,9.503633191343397e-05,0.009962849706892108,,,
103,True,,,,0.0005944906733930111,0.0,,,,,,0.0036183062475174665,0.06543219834566116,6.665801629424095e-05,0.01078934594988823,0.0,0.0,0.0,0.0,0.00011207761417608708,0.00996192805702449,,,
104,True,,,,0.000670537119731307,0.0,,,,,,0.003206280991435051,0.05508294329047203,5.401881571742706e-05,0.009412121959030628,0.0,0.0,0.0,0.0,9.338912059320137e-05,0.009960995162903337,,,
105,True,,,,0.0005011392058804631,0.0,,,,,,0.003768415655940771,0.07560791075229645,5.046188016422093e-05,0.011855577118694782,0.0,0.0,0.0,0.0,0.00014692496915813535,0.00996005102687959,,,
106,True,,,,0.0014140817802399397,0.0,,,,,,0.003590890672057867,0.06129104644060135,0.00013138822396285832,0.011199772357940674,0.0,0.0,0.0,0.0,0.00010078529157908633,0.00995909565133251,,,
107,True,,,,0.000682481040712446,0.0,,,,,,0.004150786437094212,0.06546580791473389,6.14762248005718e-05,0.011410585604608059,0.0,0.0,0.0,0.0,0.00011191114754183218,0.009958129038669687,,,
108,True,,,,0.0012649070704355836,0.0,,,,,,0.002759376307949424,0.051776014268398285,9.531497926218435e-05,0.009249542839825153,0.0,0.0,0.0,0.0,7.347363862209022e-05,0.009957151191327023,,,
109,True,,,,0.0006080645835027099,0.0,,,,,,0.0035750530660152435,0.059926822781562805,6.985488289501518e-05,0.010210727341473103,0.0,0.0,0.0,0.0,8.937940583564341e-05,0.009956162111768741,,,
110,True,,,,0.00092685705749318,0.0,,,,,,0.0030507538467645645,0.06747933477163315,0.00012729267473332584,0.010789190419018269,0.0,0.0,0.0,0.0,9.06699788174592e-05,0.009955161802487362,,,
111,True,,,,0.0005698781460523605,0.0,,,,,,0.003574824659153819,0.09941527247428894,4.925080429529771e-05,0.014110855758190155,0.0,0.0,0.0,0.0,0.00013277043763082474,0.009954150266003709,,,
112,True,,,,0.0006199529743753374,0.0,,,,,,0.0035502794198691845,0.05657355487346649,4.879538755631074e-05,0.009851985611021519,0.0,0.0,0.0,0.0,0.0001002290882752277,0.0099531275048669,,,
113,True,,,,0.00045645562931895256,0.0,,,,,,0.003869433654472232,0.07885098457336426,4.3399122660048306e-05,0.012232687324285507,0.0,0.0,0.0,0.0,0.00010632892372086644,0.009952093521654335,,,
114,True,,,,0.0013509737327694893,0.0,,,,,,0.001590450992807746,0.04808704927563667,0.00012470824003685266,0.007812483236193657,0.0,0.0,0.0,0.0,8.301174239022657e-05,0.009951048318971697,,,
115,True,,,,0.0006398385739885271,0.0,,,,,,0.0016627737786620855,0.042829710990190506,7.18989031156525e-05,0.006621533073484898,0.0,0.0,0.0,0.0,6.772991036996245e-05,0.009949991899452944,,,
