step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,cycle_gradient_norm,joint_w4_gradient_norm
52,True,,0.01721217855811119,0.05508565902709961,,0.0,,,,,,0.005662861280143261,0.10309719294309616,0.0,0.033735617995262146,0.0,0.0,0.0,0.0,0.18822285532951355,0.0004997276067014472,,,
53,True,,0.01121328491717577,0.03554888814687729,,0.0,,,,,,0.00310335261747241,0.07366561889648438,0.0,0.022038687020540237,0.0,0.0,0.0,0.0,0.12695497274398804,0.0004997097533327051,,,
54,True,,0.014334260486066341,0.04146471619606018,,0.0,,,,,,0.0048475018702447414,0.08519036322832108,0.0,0.028115447610616684,0.0,0.0,0.0,0.0,0.15404756367206573,0.0004996913336855729,,,
55,True,,0.017105603590607643,0.041168615221977234,,0.0,,,,,,0.006405716296285391,0.09929768741130829,0.0,0.033852774649858475,0.0,0.0,0.0,0.0,0.1895895153284073,0.0004996723478064689,,,
56,True,,0.01364972535520792,0.037202443927526474,,0.0,,,,,,0.0050748372450470924,0.08200141787528992,0.0,0.027296729385852814,0.0,0.0,0.0,0.0,0.18136835098266602,0.0004996527957432384,,,
57,True,,0.01132005825638771,0.03575265780091286,,0.0,,,,,,0.00342557649128139,0.06941203027963638,0.0,0.022044364362955093,0.0,0.0,0.0,0.0,0.1937701255083084,0.0004996326775451531,,,
58,True,,0.016298167407512665,0.043145474046468735,,0.0,,,,,,0.006530770566314459,0.08469463884830475,0.0,0.03172985836863518,0.0,0.0,0.0,0.0,0.14232231676578522,0.0004996119932629121,,,
59,True,,0.011244633235037327,0.032882217317819595,,0.0,,,,,,0.0026210607029497623,0.07230738550424576,0.0,0.02142525464296341,0.0,0.0,0.0,0.0,0.22394026815891266,0.0004995907429486405,,,
60,True,,0.017347050830721855,0.03977237641811371,,0.0,,,,,,0.006581158842891455,0.09637126326560974,0.0,0.03396306186914444,0.0,0.0,0.0,0.0,0.17005781829357147,0.0004995689266558902,,,
61,True,,0.011861572042107582,0.03578201308846474,,0.0,,,,,,0.0028746991883963346,0.07973175495862961,0.0,0.02306726574897766,0.0,0.0,0.0,0.0,0.2807394862174988,0.0004995465444396389,,,
