method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.82,False,0.51,0.26262626262626265,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.85,False,0.59,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.86,False,0.6,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.9,False,0.8,0.10101010101010101,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.95,False,0.99,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True,0.8,True,0.4,0.32323232323232326,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True,0.82,False,0.51,0.26262626262626265,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True,0.85,False,0.6,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True,0.86,False,0.6,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True,0.9,False,0.81,0.09090909090909091,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True,0.95,False,0.99,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True,0.8,True,0.3,0.31313131313131315,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True,0.82,True,0.35,0.2727272727272727,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True,0.85,False,0.52,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True,0.86,False,0.56,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True,0.9,False,0.74,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True,0.95,False,0.97,0.010101010101010102,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True,0.8,True,0.43,0.5656565656565656,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True,0.82,False,0.52,0.47474747474747475,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True,0.85,False,0.62,0.37373737373737376,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True,0.86,False,0.62,0.37373737373737376,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True,0.9,False,0.82,0.1717171717171717,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True,0.95,False,1.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True,0.8,True,0.42,0.5757575757575758,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True,0.82,False,0.52,0.47474747474747475,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True,0.85,False,0.61,0.3838383838383838,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True,0.86,False,0.66,0.3333333333333333,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True,0.9,False,0.83,0.16161616161616163,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True,0.95,False,1.0,0.0,posthoc view; does not retrain or change frozen checkpoint
