candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_full_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_full_finetune,32,1.0,0,120.0,1.0,120.0,120.0,0.0,0.0044825395657994704,True,0.0,0.012001216937790105,0.0,0.0044825395657994704,0.07518677371990634,,,,,
natural_full_finetune_w32_c1.0_step100,natural_full_finetune,natural_full_finetune,32,1.0,100,28.05112648010254,0.8126704096794128,23.553123474121094,23.16529083251953,0.4000000059604645,0.0045570694293814995,True,0.0002558622269134503,0.01305786659848991,0.0018788422603392974,0.0045570694293814995,0.0850079716910841,,,,,
natural_full_finetune_w32_c1.0_step200,natural_full_finetune,natural_full_finetune,32,1.0,200,27.903188705444336,0.8101857900619507,23.548053741455078,22.615737915039062,0.4000000059604645,0.004401853361741814,True,0.0003076309720199788,0.012916296337607491,0.0019659769226564095,0.004401853361741814,0.08514442975865677,,,,,
natural_full_finetune_w32_c1.0_step300,natural_full_finetune,natural_full_finetune,32,1.0,300,28.298919677734375,0.8077200055122375,23.510330200195312,23.12770652770996,0.44999998807907104,0.00432715533014516,True,0.0001850195416409406,0.01215207658304962,0.0018088639801135287,0.00432715533014516,0.0782492125290446,,,,,
natural_full_finetune_w32_c1.0_step400,natural_full_finetune,natural_full_finetune,32,1.0,400,28.344196319580078,0.81376713514328,23.5028133392334,23.01148223876953,0.4000000059604645,0.00428679229548834,True,0.00024423571885563434,0.011904077609824527,0.001809609608608298,0.00428679229548834,0.07617285314336186,,,,,
natural_full_finetune_w32_c1.0_step500,natural_full_finetune,natural_full_finetune,32,1.0,500,28.45003890991211,0.8112229108810425,23.589378356933594,22.99127197265625,0.4000000059604645,0.0041312058547191555,True,0.0001822633945266716,0.011233686832201783,0.0017609408474527299,0.0041312058547191555,0.07102480977482628,,,,,
natural_full_finetune_w32_c1.0_step600,natural_full_finetune,natural_full_finetune,32,1.0,600,28.751293182373047,0.817600429058075,23.450634002685547,23.211946487426758,0.4000000059604645,0.0040288998503683615,True,0.00013828593564539914,0.01075120479274574,0.0016656178268021904,0.0040288998503683615,0.06722304942377377,,,,,
natural_full_finetune_w32_c1.0_step700,natural_full_finetune,natural_full_finetune,32,1.0,700,28.823684692382812,0.8202395439147949,23.764020919799805,23.262662887573242,0.4000000059604645,0.004015207272942689,True,0.0001507311333625694,0.010316382351203402,0.001635738360346295,0.004015207272942689,0.06301175078260712,,,,,
natural_full_finetune_w32_c1.0_step800,natural_full_finetune,natural_full_finetune,32,1.0,800,29.080371856689453,0.8246148228645325,23.902219772338867,23.397724151611328,0.4000000059604645,0.0039567169407916936,True,0.00011029441411665175,0.010055036926695494,0.0015562443004455417,0.0039567169407916936,0.060983199859037995,,,,,
natural_full_finetune_w32_c1.0_step900,natural_full_finetune,natural_full_finetune,32,1.0,900,29.167556762695312,0.8262826800346375,23.961688995361328,23.499935150146484,0.4000000059604645,0.003885336570817799,True,0.00011675572513922817,0.00987822007758723,0.001528238221362699,0.003885336570817799,0.05992883506769431,,,,,
natural_full_finetune_w32_c1.0_step1000,natural_full_finetune,natural_full_finetune,32,1.0,1000,29.191598892211914,0.8247449994087219,23.89738655090332,23.468746185302734,0.4000000059604645,0.003870016278995081,True,0.00010618079904816114,0.009756965977464916,0.0015276849866495469,0.003870016278995081,0.058869496984698344,,,,,
