step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
91,True,,,,,5.414676707005128e-06,0.0,3.216616960344254e-06,7.022985300864093e-06,0.0,0.0,0.0,0.0,2.1576410347279307e-07,0.009886945968516407
92,True,,,,,4.588135925587267e-05,0.0,2.6706027711043134e-05,5.923437129240483e-05,0.0,0.0,0.0,0.0,9.937057257047854e-07,0.009883706864994325
93,True,,,,,1.2059514119755477e-05,0.0,4.8606002565065864e-06,1.4489814020635094e-05,0.0,0.0,0.0,0.0,2.3545831595583877e-07,0.009880422620023328
94,True,,,,,3.2233836009254446e-06,0.0,8.899939416551206e-07,3.6683804864878766e-06,0.0,0.0,0.0,0.0,1.1356961948649769e-07,0.0098770932674231
95,True,,,,,2.221558133896906e-06,0.0,8.110962426144397e-07,2.6271063688909635e-06,0.0,0.0,0.0,0.0,1.1277094813522126e-07,0.009873718841477816
96,True,,,,,7.921988071757369e-06,0.0,3.900952833646443e-06,9.872464943327941e-06,0.0,0.0,0.0,0.0,2.0975456038740958e-07,0.00987029937693581
97,True,,,,,4.1925748519133776e-05,0.0,2.5692046619951725e-05,5.477177182910964e-05,0.0,0.0,0.0,0.0,9.631755801819963e-07,0.00986683490900919
98,True,,,,,4.8901310947258025e-06,0.0,1.5009027265477926e-06,5.640582457999699e-06,0.0,0.0,0.0,0.0,1.2065170551522897e-07,0.009863325473373498
99,True,,,,,6.821795068390202e-06,0.0,1.3149133337719832e-06,7.479251507902518e-06,0.0,0.0,0.0,0.0,1.461517200596063e-07,0.009859771106167326
100,True,,,,,1.2462858649087138e-05,0.0,6.1957971411175095e-06,1.5560757674393244e-05,0.0,0.0,0.0,0.0,2.501783740171959e-07,0.009856171843991957
101,True,,,,,5.531464466912439e-06,0.0,1.8366340555076022e-06,6.449781722039916e-06,0.0,0.0,0.0,0.0,1.0991986698627443e-07,0.00985252772391098
102,True,,,,,7.098345122358296e-06,0.0,2.8475224098656327e-06,8.522106327291112e-06,0.0,0.0,0.0,0.0,1.6950059489317937e-07,0.009848838783449911
103,True,,,,,8.50084143166896e-06,0.0,4.748601895698812e-06,1.0875142834265716e-05,0.0,0.0,0.0,0.0,2.3388402325963398e-07,0.009845105060595804
104,True,,,,,3.979617304139538e-06,0.0,9.28948054479406e-07,4.4440912461141124e-06,0.0,0.0,0.0,0.0,1.0726553512085957e-07,0.009841326593796867
105,True,,,,,3.477395466688904e-06,0.0,9.375123113386508e-07,3.946151537093101e-06,0.0,0.0,0.0,0.0,8.492006031701749e-08,0.009837503421962053
106,True,,,,,3.0386127036763355e-06,0.0,7.846410881029442e-07,3.4309332477278076e-06,0.0,0.0,0.0,0.0,1.1702809388225432e-07,0.009833635584460676
107,True,,,,,8.687755325809121e-06,0.0,3.187065658494248e-06,1.0281288268743083e-05,0.0,0.0,0.0,0.0,1.4330754538605106e-07,0.009829723121121993
108,True,,,,,1.5022969819256105e-05,0.0,4.807718596566701e-06,1.742682979966048e-05,0.0,0.0,0.0,0.0,2.0737051897867786e-07,0.009825766072234798
109,True,,,,,4.667257599066943e-06,0.0,1.976856310648145e-06,5.65568552701734e-06,0.0,0.0,0.0,0.0,1.5367469075044937e-07,0.009821764478547008
110,True,,,,,7.311651188501855e-06,0.0,3.868522071570624e-06,9.245912224287167e-06,0.0,0.0,0.0,0.0,1.4891467969846417e-07,0.00981771838126524
111,True,,,,,4.3947031372226775e-05,0.0,2.7449334083939902e-05,5.767169932369143e-05,0.0,0.0,0.0,0.0,9.97293909676955e-07,0.00981362782205439
112,True,,,,,3.988390290032839e-06,0.0,1.201385430249502e-06,4.589082891470753e-06,0.0,0.0,0.0,0.0,1.290445794666084e-07,0.009809492843037206
113,True,,,,,6.8023741732758936e-06,0.0,3.4543490983196534e-06,8.52954872243572e-06,0.0,0.0,0.0,0.0,1.5360014060661342e-07,0.009805313486793848
114,True,,,,,8.934049219533335e-06,0.0,3.526106866047485e-06,1.0697102879930753e-05,0.0,0.0,0.0,0.0,1.4381987512024352e-07,0.009801089796361455
115,True,,,,,6.8850158640998416e-06,0.0,2.7174664865015075e-06,8.243749107350595e-06,0.0,0.0,0.0,0.0,1.580411748136612e-07,0.009796821815233695
116,True,,,,,1.9959913970524212e-06,0.0,5.912634151172824e-07,2.2916231046110624e-06,0.0,0.0,0.0,0.0,1.0245967985156312e-07,0.00979250958736033
117,True,,,,,6.296169431152521e-06,0.0,1.8826763152901549e-06,7.237507816171274e-06,0.0,0.0,0.0,0.0,1.1897551388528882e-07,0.009788153157146748
118,True,,,,,9.531986506772228e-06,0.0,3.723189138327143e-06,1.1393581189622637e-05,0.0,0.0,0.0,0.0,2.1019063467520027e-07,0.009783752569453512
119,True,,,,,8.884149792720564e-06,0.0,3.317070650155074e-06,1.0542685231484938e-05,0.0,0.0,0.0,0.0,2.002662569111635e-07,0.009779307869595908
120,True,,,,,3.984417344327085e-05,0.0,2.42225214606151e-05,5.1955434173578396e-05,0.0,0.0,0.0,0.0,9.366706308355788e-07,0.00977481910334346
121,True,,,,,9.634126399760135e-06,0.0,4.3949739847448654e-06,1.1831612937385216e-05,0.0,0.0,0.0,0.0,1.8531413559230714e-07,0.00977028631691947
122,True,,,,,5.449204309115885e-06,0.0,1.3217243122198852e-06,6.11006635153899e-06,0.0,0.0,0.0,0.0,1.1663043864018618e-07,0.009765709557000546
123,True,,,,,4.6681889216415584e-05,0.0,2.6717802029452287e-05,6.004079114063643e-05,0.0,0.0,0.0,0.0,8.762917218518851e-07,0.009761088870716104
124,True,,,,,7.71309896663297e-06,0.0,3.6124517919233767e-06,9.519324521534145e-06,0.0,0.0,0.0,0.0,1.644188643012967e-07,0.00975642430564791
125,True,,,,,1.516393240308389e-06,0.0,4.769896122525097e-07,1.754887989591225e-06,0.0,0.0,0.0,0.0,1.1474243422071595e-07,0.009751715909829557
126,True,,,,,7.429715878970455e-06,0.0,3.2384741643909365e-06,9.048952961165924e-06,0.0,0.0,0.0,0.0,1.4593058494938305e-07,0.009746963731745996
127,True,,,,,7.723045200691558e-06,0.0,2.7688379304890987e-06,9.107464393309783e-06,0.0,0.0,0.0,0.0,1.6282403692002845e-07,0.009742167820333034
128,True,,,,,2.730553205765318e-06,0.0,7.067301339702681e-07,3.083918272750452e-06,0.0,0.0,0.0,0.0,1.1578885761309721e-07,0.00973732822497681
129,True,,,,,6.895621481817216e-06,0.0,2.5029135031218175e-06,8.147078006004449e-06,0.0,0.0,0.0,0.0,1.5167672984262026e-07,0.00973244499551331
130,True,,,,,7.095320142980199e-06,0.0,2.3555335246783216e-06,8.273086677945685e-06,0.0,0.0,0.0,0.0,1.0711190157053352e-07,0.009727518182227847
131,True,,,,,4.548692231765017e-06,0.0,2.951048145405366e-06,6.024216418154538e-06,0.0,0.0,0.0,0.0,1.9370841641830339e-07,0.009722547835854533
132,True,,,,,8.076552148850169e-06,0.0,3.0781345685682027e-06,9.615619092073757e-06,0.0,0.0,0.0,0.0,1.6467281227505737e-07,0.009717534007575768
133,True,,,,,5.766097729065223e-06,0.0,1.1138425861645374e-06,6.32301907899091e-06,0.0,0.0,0.0,0.0,1.33994333850751e-07,0.009712476749021709
134,True,,,,,3.8454236346296966e-05,0.0,2.2983349481364712e-05,4.9945912905968726e-05,0.0,0.0,0.0,0.0,8.879766255631694e-07,0.009707376112269737
135,True,,,,,1.3857398698746692e-05,0.0,6.176217539177742e-06,1.6945507013588212e-05,0.0,0.0,0.0,0.0,2.664251326223166e-07,0.009702232149843929
136,True,,,,,2.8574172574735712e-06,0.0,9.522793220639869e-07,3.3335568332404364e-06,0.0,0.0,0.0,0.0,9.91467672406543e-08,0.009697044914714497
137,True,,,,,5.050458184996387e-06,0.0,9.318116553913569e-07,5.516364126378903e-06,0.0,0.0,0.0,0.0,1.3829168210577336e-07,0.00969181446029727
138,True,,,,,4.400324542075396e-06,0.0,1.0550297702138778e-06,4.92783965455601e-06,0.0,0.0,0.0,0.0,1.242859610783853e-07,0.009686540840453122
139,True,,,,,4.690729838330299e-06,0.0,1.6363609347536112e-06,5.508910362550523e-06,0.0,0.0,0.0,0.0,1.0307309850077218e-07,0.009681224109487426
140,True,,,,,4.513444582698867e-05,0.0,2.549777491367422e-05,5.788333510281518e-05,0.0,0.0,0.0,0.0,8.868338454703917e-07,0.009675864322149497
141,True,,,,,8.225253623095341e-06,0.0,4.5219785533845425e-06,1.0486242899787612e-05,0.0,0.0,0.0,0.0,2.2546973355019873e-07,0.00967046153363202
142,True,,,,,4.02588011638727e-06,0.0,1.0071346423501382e-06,4.529447323875502e-06,0.0,0.0,0.0,0.0,9.111822407703585e-08,0.009665015799570496
143,True,,,,,1.2346207768132444e-05,0.0,5.9129574765393045e-06,1.5302686733775772e-05,0.0,0.0,0.0,0.0,2.2525361487168993e-07,0.009659527176042647
144,True,,,,,3.3276514841418248e-06,0.0,1.3081320275887265e-06,3.9817173274059314e-06,0.0,0.0,0.0,0.0,7.964286652395458e-08,0.009653995719567862
145,True,,,,,1.0968137758027297e-05,0.0,3.845241735689342e-06,1.2890758625871968e-05,0.0,0.0,0.0,0.0,2.2393864185232815e-07,0.009648421487106604
