method,comparison_group,role,detector,test_quality_valid,search_quality_valid,bit_accuracy,tpr,n,evasion_rate,evasion_ci95_low,evasion_ci95_high,mean_abs_bit_accuracy_minus_half,detected_count,tpr_ci95_low,tpr_ci95_high,threshold_matches,lower_threshold_matches,lpips,psnr,ssim,highpass_energy_ratio,highpass_mse,reference_valid,total_bits,correct_bits,error_bits,net_additional_bit_errors,decoding_improved_images,decoding_worsened_images,decoding_tied_images,exact_message_accuracy,bit_accuracy_drop_pp,bit_accuracy_drop_ci95_low_pp,bit_accuracy_drop_ci95_high_pp,survival_on_originally_detected,evasion_on_originally_detected,survival_ci95_low,survival_ci95_high,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,bit_accuracy_retained_percent,tpr_retained_percent
natural_qat_scale_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9860416666666666,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4860416666666667,99,0.9455138038212946,0.9982325679358593,36,12,0.0013063026183226612,51.23271560668945,0.9991916418075562,0.9979660904407501,4.0048618797072775e-06,True,4800,4733,67,-1,3,2,95,0.75,-0.020833333333333332,-0.10416666666666687,0.06250000000000022,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0211327134404,100.0
natural_gan_qat_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9858333333333333,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48583333333333334,99,0.9455138038212946,0.9982325679358593,36,12,0.0013993569627928082,49.62165069580078,0.9989542365074158,1.0150294125080108,4.413720035927326e-06,True,4800,4732,68,0,3,3,94,0.75,0.0,-0.10416666666666652,0.10416666666666662,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
natural_spectral_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.985,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485,99,0.9455138038212946,0.9982325679358593,36,12,0.003685170101816766,47.82890701293945,0.9982490539550781,1.0024072486162185,8.408235271417652e-06,True,4800,4728,72,4,5,8,87,0.72,0.08333333333333333,-0.06302083333333362,0.2500000000000002,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.91546914623838,100.0
fixed_ptq_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.983125,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.483125,99,0.9455138038212946,0.9982325679358593,36,12,0.023153926339000465,33.00245666503906,0.9396127462387085,0.8948158127069473,0.0003300268820385099,True,4800,4719,81,13,5,10,85,0.71,0.2708333333333333,0.041145833333333,0.5416666666666665,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.72527472527473,100.0
reconstruction_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9822916666666667,1.0,100,0.0,0.0,0.03699349820698572,0.48229166666666673,100,0.9630065017930143,1.0,36,12,0.02482686302624643,33.743873596191406,0.9493187069892883,0.7671386158466339,0.0002674915179522941,True,4800,4715,85,17,6,17,77,0.7,0.3541666666666667,0.0625,0.6458333333333337,1.0,0.0,0.9626467879321725,1.0,-1.0000000000000009,-3.0,0.0,99.64074387151311,101.01010101010101
block_reconstruction_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9837499999999999,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48375000000000007,99,0.9455138038212946,0.9982325679358593,36,12,0.01516941252630204,34.92184829711914,0.9572347402572632,0.9048897898197175,0.0002309184025216382,True,4800,4722,78,10,5,13,82,0.7,0.20833333333333334,-0.02083333333333315,0.45833333333333326,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.78867286559593,100.0
natural_rounding_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9766666666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4766666666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.027526173470541836,32.997127532958984,0.9391956329345703,0.846855350136757,0.0003253956260232371,True,4800,4688,112,44,5,29,66,0.6,0.9166666666666666,0.3749999999999998,1.458333333333333,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.07016060862215,100.0
natural_rounding_scale_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9739583333333333,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.47395833333333337,99,0.9455138038212946,0.9982325679358593,36,12,0.03402541204355657,31.879985809326172,0.9231799840927124,0.8350706243515015,0.00041416032574488783,True,4800,4675,125,57,7,30,63,0.6,1.1874999999999998,0.6041666666666669,1.854166666666666,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,98.79543533389686,100.0
natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9691666666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4691666666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.033673648089170456,32.1724853515625,0.9233061075210571,0.8556469058990479,0.0003916019714961294,True,4800,4652,148,80,3,45,52,0.48,1.6666666666666667,1.1458333333333335,2.229166666666667,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,98.30938292476755,100.0
natural_qat_purification_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9760416666666666,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4760416666666667,99,0.9455138038212946,0.9982325679358593,36,12,0.02504181501455605,33.31678771972656,0.9371643662452698,0.9124533826112747,0.000356520074456057,True,4800,4685,115,47,7,32,61,0.56,0.9791666666666666,0.5208333333333338,1.458333333333333,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.00676246830092,100.0
