step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,residual_gradient_norm,cycle_gradient_norm,preservation_gradient_norm
68,True,,,0.04616080969572067,,0.0,,,,,,0.0036479136906564236,0.05662006139755249,8.033138874452561e-05,0.031507376581430435,0.02084670029580593,0.0848984643816948,0.0,0.0,0.000709340616595,0.0009987480559709326,,,,
69,True,,,0.033598266541957855,,0.0,,,,,,0.006124874111264944,0.06451824307441711,4.8101712309289724e-05,0.055716466158628464,0.04193074256181717,0.0848991647362709,0.0,0.0,0.0009941104799509048,0.000998694241063049,,,,
70,True,,,0.034388795495033264,,0.0,,,,,,0.003753629047423601,0.05405446141958237,6.275133637245744e-05,0.03257941082119942,0.022196069359779358,0.08489997684955597,0.0,0.0,0.0008144259336404502,0.000998639295426086,,,,
71,True,,,0.03589172661304474,,0.0,,,,,,0.0029103392735123634,0.046398863196372986,3.079832822550088e-05,0.025836281478405,0.017062731087207794,0.08490076661109924,0.0,0.0,0.0008848152356222272,0.0009985832191985093,,,,
72,True,,,0.0365256741642952,,0.0,,,,,,0.004020198248326778,0.05176490545272827,4.308111238060519e-05,0.03343693166971207,0.023004427552223206,0.08490151911973953,0.0,0.0,0.0007353213150054216,0.0009985260125216328,,,,
73,True,,,0.03049480728805065,,0.0,,,,,,0.002857031999155879,0.04409180209040642,4.181037002126686e-05,0.025758039206266403,0.017316948622465134,0.08490238338708878,0.0,0.0,0.0007226261659525335,0.0009984676755396204,,,,
74,True,,,0.03260507434606552,,0.0,,,,,,0.0037143926601856947,0.05883996933698654,8.300004992634058e-05,0.03320592641830444,0.022390954196453094,0.08490321785211563,0.0,0.0,0.000659612996969372,0.0009984082083994838,,,,
75,True,,,0.0438772477209568,,0.0,,,,,,0.0048439535312354565,0.06802524626255035,4.107535278308205e-05,0.042700838297605515,0.029746009036898613,0.08490406721830368,0.0,0.0,0.0010364933405071497,0.0009983476112510822,,,,
76,True,,,0.03511127084493637,,0.0,,,,,,0.005068659782409668,0.05445264279842377,8.033138874452561e-05,0.04583580419421196,0.03408155217766762,0.08490504324436188,0.0,0.0,0.0009464685572311282,0.0009982858842471237,,,,
77,True,,,0.03381548821926117,,0.0,,,,,,0.0035690031945705414,0.04361342266201973,4.8101712309289724e-05,0.03140021115541458,0.02225859835743904,0.08490606397390366,0.0,0.0,0.0008246268262155354,0.000998223027543163,,,,
78,True,,,0.041956305503845215,,0.0,,,,,,0.00436558248475194,0.06491433829069138,6.275133637245744e-05,0.036588117480278015,0.02443109080195427,0.08490711450576782,0.0,0.0,0.0007470219861716032,0.0009981590412976014,,,,
79,True,,,0.030515026301145554,,0.0,,,,,,0.0014149220660328865,0.02961309812963009,3.079832822550088e-05,0.013710147701203823,0.008164284750819206,0.08490816503763199,0.0,0.0,0.0006038012797944248,0.0009980939256716871,,,,
80,True,,,0.03498561680316925,,0.0,,,,,,0.0014217033749446273,0.04720769822597504,4.308111238060519e-05,0.015492094680666924,0.00812913291156292,0.08490914851427078,0.0,0.0,0.00053572584874928,0.0009980276808295146,,,,
81,True,,,0.05529753863811493,,0.0,,,,,,0.0031137405894696712,0.05004411190748215,4.181037002126686e-05,0.027065541595220566,0.017524410039186478,0.0849100649356842,0.0,0.0,0.0008922859560698271,0.0009979603069380236,,,,
82,True,,,0.03323947638273239,,0.0,,,,,,0.0064208912663161755,0.072503000497818,8.300004992634058e-05,0.050380460917949677,0.035486266016960144,0.084911048412323,0.0,0.0,0.0010106200352311134,0.0009978918041669994,,,,
83,True,,,0.026115380227565765,,0.0,,,,,,0.002464006654918194,0.039797503501176834,4.107535278308205e-05,0.02386196330189705,0.016287392005324364,0.08491213619709015,0.0,0.0,0.000685271923430264,0.0009978221726890716,,,,
84,True,,,0.034606412053108215,,0.0,,,,,,0.0018221376230940223,0.05041387677192688,8.033138874452561e-05,0.017818979918956757,0.009720093570649624,0.0849132314324379,0.0,0.0,0.0005610050866380334,0.000997751412679715,,,,
85,True,,,0.033292919397354126,,0.0,,,,,,0.0027274598833173513,0.05871867761015892,4.8101712309289724e-05,0.025944173336029053,0.016138723120093346,0.08491428196430206,0.0,0.0,0.0007387906080111861,0.0009976795243172474,,,,
86,True,,,0.03779703006148338,,0.0,,,,,,0.0036360747180879116,0.04550217092037201,6.275133637245744e-05,0.02992345206439495,0.020478662103414536,0.08491533994674683,0.0,0.0,0.0012104016495868564,0.0009976065077828312,,,,
87,True,,,0.034452155232429504,,0.0,,,,,,0.0018854623194783926,0.03971082717180252,3.079832822550088e-05,0.016579899936914444,0.009514270350337029,0.08491634577512741,0.0,0.0,0.000717592251021415,0.000997532363260471,,,,
88,True,,,0.029913771897554398,,0.0,,,,,,0.003145610447973013,0.05328898876905441,4.308111238060519e-05,0.029910385608673096,0.020266026258468628,0.08491731435060501,0.0,0.0,0.000716533453669399,0.000997457090937014,,,,
89,True,,,0.04055590182542801,,0.0,,,,,,0.0033557708375155926,0.06436588615179062,4.181037002126686e-05,0.032311927527189255,0.021243922412395477,0.08491827547550201,0.0,0.0,0.0007591385510750115,0.0009973806910021502,,,,
90,True,,,0.0275048166513443,,0.0,,,,,,0.003302068216726184,0.04842676594853401,8.300004992634058e-05,0.026926197111606598,0.01761571131646633,0.08491929620504379,0.0,0.0,0.0006825023447163403,0.0009973031636484105,,,,
91,True,,,0.03599044308066368,,0.0,,,,,,0.0031055561266839504,0.04772438108921051,4.107535278308205e-05,0.02941213734447956,0.020304499194025993,0.08492026478052139,0.0,0.0,0.0006887390627525747,0.000997224509071167,,,,
92,True,,,0.03368084132671356,,0.0,,,,,,0.006147184409201145,0.0681326687335968,8.033138874452561e-05,0.05114094913005829,0.03695430979132652,0.08492124080657959,0.0,0.0,0.0008189153159037232,0.0009971447274686332,,,,
93,True,,,0.039639733731746674,,0.0,,,,,,0.005546936299651861,0.07162075489759445,4.8101712309289724e-05,0.048310764133930206,0.03433208540081978,0.0849221795797348,0.0,0.0,0.0009830715134739876,0.000997063819041862,,,,
94,True,,,0.030829282477498055,,0.0,,,,,,0.003991620149463415,0.05481061339378357,6.275133637245744e-05,0.03537958487868309,0.02471800148487091,0.08492320030927658,0.0,0.0,0.0007696457905694842,0.000996981783994746,,,,
95,True,,,0.03721046447753906,,0.0,,,,,,0.0031592748127877712,0.06123605743050575,3.079832822550088e-05,0.03121362067759037,0.02069399505853653,0.08492417633533478,0.0,0.0,0.0007463726215064526,0.000996898622534017,,,,
96,True,,,0.028617259114980698,,0.0,,,,,,0.004042973276227713,0.06020050123333931,4.308111238060519e-05,0.036144427955150604,0.024924442172050476,0.08492524176836014,0.0,0.0,0.0008609712240286171,0.000996814334869246,,,,
97,True,,,0.030991919338703156,,0.0,,,,,,0.0022261447738856077,0.043900683522224426,4.181037002126686e-05,0.021484054625034332,0.013687752187252045,0.08492637425661087,0.0,0.0,0.0005448623560369015,0.0009967289212128411,,,,
98,True,,,0.04545397311449051,,0.0,,,,,,0.002851651981472969,0.050299614667892456,8.300004992634058e-05,0.025692764669656754,0.016465837135910988,0.08492744714021683,0.0,0.0,0.0007722331793047488,0.000996642381780049,,,,
99,True,,,0.031186813488602638,,0.0,,,,,,0.005219566635787487,0.0663720890879631,4.107535278308205e-05,0.051785968244075775,0.038747504353523254,0.08492842316627502,0.0,0.0,0.0011272403644397855,0.0009965547167889522,,,,
100,True,,,0.04191545024514198,,0.0,,,,,,0.0019526922842487693,0.05074416846036911,8.033138874452561e-05,0.020095376297831535,0.011759650893509388,0.08492958545684814,0.0,0.0,0.000547769945114851,0.0009964659264604708,0.0003610822347495011,0.00034707176028195465,0.00011206090303297172,3.622093277905964e-05
101,True,,,0.04491511359810829,,0.0,,,,,,0.0038696937263011932,0.05980877950787544,4.8101712309289724e-05,0.03601878508925438,0.024845704436302185,0.08493074029684067,0.0,0.0,0.0006465908954851329,0.00099637601101836,,,,
102,True,,,0.03802240639925003,,0.0,,,,,,0.0030979178845882416,0.054898325353860855,6.275133637245744e-05,0.027141885831952095,0.017293216660618782,0.08493196219205856,0.0,0.0,0.0007354825502261519,0.0009962849706892107,,,,
103,True,,,0.046041183173656464,,0.0,,,,,,0.0032844170928001404,0.05561894178390503,3.079832822550088e-05,0.029282957315444946,0.019111501052975655,0.08493322134017944,0.0,0.0,0.0007848890381865203,0.000996192805702449,,,,
104,True,,,0.03923274204134941,,0.0,,,,,,0.0029441877268254757,0.046372175216674805,4.308111238060519e-05,0.026559768244624138,0.017715152353048325,0.08493436872959137,0.0,0.0,0.0007088870625011623,0.0009960995162903337,,,,
105,True,,,0.029014158993959427,,0.0,,,,,,0.003481827676296234,0.06188172101974487,4.181037002126686e-05,0.03324364498257637,0.022413242608308792,0.08493560552597046,0.0,0.0,0.000784984091296792,0.000996005102687959,,,,
106,True,,,0.038070373237133026,,0.0,,,,,,0.003281259909272194,0.04660206288099289,8.300004992634058e-05,0.029652930796146393,0.020439893007278442,0.08493684977293015,0.0,0.0,0.0007103400421328843,0.000995909565133251,,,,
107,True,,,0.03939156234264374,,0.0,,,,,,0.0038112569600343704,0.05427616834640503,4.107535278308205e-05,0.035557035356760025,0.0250543262809515,0.08493809401988983,0.0,0.0,0.0008281945483759046,0.0009958129038669687,,,,
108,True,,,0.032552771270275116,,0.0,,,,,,0.002555674174800515,0.044997505843639374,8.033138874452561e-05,0.025643140077590942,0.017372628673911095,0.0849393680691719,0.0,0.0,0.0005760587519034743,0.0009957151191327023,,,,
109,True,,,0.037968479096889496,,0.0,,,,,,0.0033417786471545696,0.05080509930849075,4.8101712309289724e-05,0.027340788394212723,0.017665358260273933,0.08494062721729279,0.0,0.0,0.0007400697213597596,0.0009956162111768741,,,,
110,True,,,0.030752629041671753,,0.0,,,,,,0.002906542271375656,0.05662493035197258,6.275133637245744e-05,0.026666317135095596,0.016908962279558182,0.08494188636541367,0.0,0.0,0.000581182714086026,0.0009955161802487362,,,,
111,True,,,0.04354923591017723,,0.0,,,,,,0.0034026778303086758,0.08450068533420563,3.079832822550088e-05,0.035829681903123856,0.022676611319184303,0.08494305610656738,0.0,0.0,0.0007209392497316003,0.000995415026600371,,,,
112,True,,,0.031357817351818085,,0.0,,,,,,0.003220465499907732,0.04608526453375816,4.308111238060519e-05,0.027750127017498016,0.018736574798822403,0.08494418859481812,0.0,0.0,0.0008428367436863482,0.0009953127504866899,,,,
113,True,,,0.03944374620914459,,0.0,,,,,,0.0036854874342679977,0.06598568707704544,4.181037002126686e-05,0.035555433481931686,0.02400658093392849,0.08494537323713303,0.0,0.0,0.0007747510098852217,0.0009952093521654335,,,,
114,True,,,0.026545630767941475,,0.0,,,,,,0.0014698412269353867,0.0392564982175827,8.300004992634058e-05,0.01540767215192318,0.008855758234858513,0.08494660258293152,0.0,0.0,0.0005028138402849436,0.0009951048318971698,,,,
115,True,,,0.021861422806978226,,0.0,,,,,,0.0015194201841950417,0.03560888022184372,4.107535278308205e-05,0.016167381778359413,0.0099984435364604,0.084947869181633,0.0,0.0,0.00046702229883521795,0.0009949991899452944,,,,
116,True,,,0.02032342553138733,,0.0,,,,,,0.002042528009042144,0.03840267285704613,8.033138874452561e-05,0.019505560398101807,0.012529874220490456,0.0849490836262703,0.0,0.0,0.0006771688931621611,0.00099489242657603,,,,
117,True,,,0.036206405609846115,,0.0,,,,,,0.004354141652584076,0.07040853053331375,4.8101712309289724e-05,0.03989453986287117,0.027263926342129707,0.08495032787322998,0.0,0.0,0.0008019115775823593,0.0009947845420584247,,,,
118,True,,,0.039106015115976334,,0.0,,,,,,0.003739890642464161,0.05829590931534767,6.275133637245744e-05,0.03645816072821617,0.025616731494665146,0.08495169132947922,0.0,0.0,0.0009001936414279044,0.0009946755366643523,,,,
119,True,,,0.03588591516017914,,0.0,,,,,,0.002076126169413328,0.05201280117034912,3.079832822550088e-05,0.02314010076224804,0.014638906344771385,0.08495306968688965,0.0,0.0,0.000634825206361711,0.0009945654106685111,,,,
