method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8209212422370911,29.47327423095703,0.043267123382538554,0.37,0.36363636363636365,True,99,False,0.82,True,0.47,0.1717171717171717,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8209212422370911,29.47327423095703,0.043267123382538554,0.37,0.36363636363636365,True,99,False,0.85,False,0.58,0.15151515151515152,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8209212422370911,29.47327423095703,0.043267123382538554,0.37,0.36363636363636365,True,99,False,0.86,False,0.6,0.1414141414141414,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8209212422370911,29.47327423095703,0.043267123382538554,0.37,0.36363636363636365,True,99,False,0.9,False,0.78,0.08080808080808081,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8209212422370911,29.47327423095703,0.043267123382538554,0.37,0.36363636363636365,True,99,False,0.95,False,0.98,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387230038642883,29.951562881469727,0.039826676873490216,0.17000000000000004,0.16161616161616163,True,99,False,0.8,True,0.3,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387230038642883,29.951562881469727,0.039826676873490216,0.17000000000000004,0.16161616161616163,True,99,False,0.82,True,0.36,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387230038642883,29.951562881469727,0.039826676873490216,0.17000000000000004,0.16161616161616163,True,99,False,0.85,False,0.52,0.10101010101010101,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387230038642883,29.951562881469727,0.039826676873490216,0.17000000000000004,0.16161616161616163,True,99,False,0.86,False,0.56,0.10101010101010101,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387230038642883,29.951562881469727,0.039826676873490216,0.17000000000000004,0.16161616161616163,True,99,False,0.9,False,0.74,0.06060606060606061,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387230038642883,29.951562881469727,0.039826676873490216,0.17000000000000004,0.16161616161616163,True,99,False,0.95,False,0.97,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8150022625923157,28.88941192626953,0.048370263446122407,0.9299999999999999,0.9292929292929293,True,99,False,0.8,True,0.39,0.5656565656565656,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8150022625923157,28.88941192626953,0.048370263446122407,0.9299999999999999,0.9292929292929293,True,99,False,0.82,False,0.5,0.46464646464646464,posthoc view; does not retrain or change frozen checkpoint
