step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,preservation_gradient_norm
123,True,,,,,0.0,,,,,,0.0026601403951644897,0.06312036514282227,4.1037546907318756e-05,0.008992696180939674,0.0,0.0,0.0,0.0,8.932792843552306e-05,0.009941137062602487,,
124,True,,,,,0.0,,,,,,0.007375880144536495,0.08895386755466461,7.973043102538213e-05,0.016311131417751312,0.0,0.0,0.0,0.0,0.00011573557276278734,0.009939979814748529,,
125,True,,,,,0.0,,,,,,0.00230726832523942,0.043606601655483246,4.70282175228931e-05,0.0066914428025484085,0.0,0.0,0.0,0.0,7.860264304326847e-05,0.009938811377951568,,
126,True,,,,,0.0,,,,,,0.004137178882956505,0.07121603190898895,7.593127520522103e-05,0.01129674818366766,0.0,0.0,0.0,0.0,0.00013042151113040745,0.009937631755156119,,
127,True,,,,,0.0,,,,,,0.004410255700349808,0.07039044797420502,3.71875285054557e-05,0.011467894539237022,0.0,0.0,0.0,0.0,0.00011139764683321118,0.009936440949334878,,
128,True,,,,,0.0,,,,,,0.0031524160876870155,0.06004821136593819,3.9897640817798674e-05,0.009177185595035553,0.0,0.0,0.0,0.0,0.0001231735514011234,0.009935238963488732,,
129,True,,,,,0.0,,,,,,0.0031142353545874357,0.0531209297478199,3.525382635416463e-05,0.008443955332040787,0.0,0.0,0.0,0.0,0.00012360193068161607,0.009934025800646737,,
130,True,,,,,0.0,,,,,,0.005078096408396959,0.0811195820569992,9.61622572503984e-05,0.013238136656582355,0.0,0.0,0.0,0.0,0.00010759476572275162,0.009932801463866115,,
131,True,,,,,0.0,,,,,,0.0030439049005508423,0.061367928981781006,4.935255856253207e-05,0.009205374866724014,0.0,0.0,0.0,0.0,9.687261626822874e-05,0.009931565956232251,,
132,True,,,,,0.0,,,,,,0.0031332827638834715,0.05284154415130615,8.73856115504168e-05,0.00846112985163927,0.0,0.0,0.0,0.0,8.708932728040963e-05,0.009930319280858677,,
133,True,,,,,0.0,,,,,,0.004235443659126759,0.07114991545677185,5.303480429574847e-05,0.01137695275247097,0.0,0.0,0.0,0.0,0.00010071043652715161,0.009929061440887068,,
134,True,,,,,0.0,,,,,,0.004034198820590973,0.06488944590091705,7.416787411784753e-05,0.010560228489339352,0.0,0.0,0.0,0.0,0.00010190888133365661,0.009927792439487236,,
135,True,,,,,0.0,,,,,,0.003401371417567134,0.049416474997997284,4.469422856345773e-05,0.00836536567658186,0.0,0.0,0.0,0.0,8.72945092851296e-05,0.009926512279857119,,
136,True,,,,,0.0,,,,,,0.0030595483258366585,0.07732230424880981,4.5451226469594985e-05,0.010814503766596317,0.0,0.0,0.0,0.0,0.00014947046292945743,0.009925220965222777,,
137,True,,,,,0.0,,,,,,0.0011288498062640429,0.03989948332309723,3.5669956560013816e-05,0.005136633291840553,0.0,0.0,0.0,0.0,0.00010702436702558771,0.009923918498838377,,
138,True,,,,,0.0,,,,,,0.003014066955074668,0.06227158010005951,9.806031448533759e-05,0.009290255606174469,0.0,0.0,0.0,0.0,9.926989150699228e-05,0.009922604883986197,,
139,True,,,,,0.0,,,,,,0.0050931959412992,0.07420769333839417,5.5027936468832195e-05,0.012541479431092739,0.0,0.0,0.0,0.0,0.00010962074156850576,0.009921280123976597,,
140,True,,,,,0.0,,,,,,0.0037278984673321247,0.06593769788742065,8.03800649009645e-05,0.010361858643591404,0.0,0.0,0.0,0.0,0.00010011373524321243,0.009919944222148034,,
141,True,,,,,0.0,,,,,,0.005161951296031475,0.06609037518501282,6.39484787825495e-05,0.011802962981164455,0.0,0.0,0.0,0.0,8.738318138057366e-05,0.009918597181867037,,
142,True,,,,,0.0,,,,,,0.0029220706783235073,0.055819157510995865,7.616061338922009e-05,0.008542066439986229,0.0,0.0,0.0,0.0,9.426254837308079e-05,0.009917239006528206,,
143,True,,,,,0.0,,,,,,0.003656708635389805,0.058383602648973465,3.53942668880336e-05,0.00951276533305645,0.0,0.0,0.0,0.0,7.65731165301986e-05,0.009915869699554204,,
144,True,,,,,0.0,,,,,,0.0035045836120843887,0.04598959535360336,3.8323945773299783e-05,0.008122705854475498,0.0,0.0,0.0,0.0,6.570590630872175e-05,0.009914489264395743,,
145,True,,,,,0.0,,,,,,0.0017347511602565646,0.05261992663145065,3.312854823889211e-05,0.007013308349996805,0.0,0.0,0.0,0.0,9.743707050802186e-05,0.009913097704531583,,
146,True,,,,,0.0,,,,,,0.005317701026797295,0.08284460008144379,8.007228461792693e-05,0.013642196543514729,0.0,0.0,0.0,0.0,0.00010268935147905722,0.00991169502346851,,
