candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective
natural_rounding_w4_c1.0_step1000,natural_rounding,natural_rounding,4,1.0,1000,30.506763458251953,0.8699730634689331,,25.291399002075195,24.884958267211914,0.15000000596046448,0.0038729288167473896,True,6.777271119062789e-05,0.0011233014753088354,0.0038729288167473896,0.05853424447195721,,,,0.009760239619538424
natural_rounding_w4_c1.0_step1100,natural_rounding,natural_rounding,4,1.0,1100,30.556201934814453,0.8716273307800293,,25.37209129333496,24.944276809692383,0.15000000596046448,0.0038531937341872435,True,7.416661301249406e-05,0.0011067811370594426,0.0038531937341872435,0.05836431300122058,,,,0.00972670834081555
natural_rounding_w4_c1.0_step1200,natural_rounding,natural_rounding,4,1.0,1200,30.540573120117188,0.8715378642082214,,25.421199798583984,24.86823272705078,0.15000000596046448,0.0038391766730399013,True,7.483139452233445e-05,0.0011082146942499095,0.0038391766730399013,0.05816770702949725,,,,0.009693363073250794
natural_rounding_w4_c1.0_step1300,natural_rounding,natural_rounding,4,1.0,1300,30.542362213134766,0.8719770312309265,,25.483171463012695,24.927295684814453,0.15000000596046448,0.0038405084696933045,True,7.043300465738866e-05,0.0011052505258703604,0.0038405084696933045,0.05792359375482192,,,,0.00966808434750419
natural_rounding_w4_c1.0_step1400,natural_rounding,natural_rounding,4,1.0,1400,30.60430335998535,0.8724763989448547,,25.432254791259766,24.926406860351562,0.15000000596046448,0.003827517802079683,True,7.050013264233712e-05,0.0010961126288748346,0.003827517802079683,0.057720524273463525,,,,0.009634820295747203
natural_rounding_w4_c1.0_step1500,natural_rounding,natural_rounding,4,1.0,1500,30.577823638916016,0.8725296854972839,,25.547073364257812,24.996726989746094,0.15000000596046448,0.0038247855237472095,True,6.350357334667933e-05,0.0010929589290753939,0.0038247855237472095,0.057576241644710535,,,,0.009614161474891603
natural_rounding_w4_c1.0_step1600,natural_rounding,natural_rounding,4,1.0,1600,30.590927124023438,0.8722144365310669,,25.472566604614258,24.945619583129883,0.15000000596046448,0.003823119535979913,True,6.389435147866607e-05,0.0010979520899127237,0.003823119535979913,0.05712413994842791,,,,0.009567480706562038
natural_rounding_w4_c1.0_step1700,natural_rounding,natural_rounding,4,1.0,1700,30.606708526611328,0.8727797269821167,,25.515878677368164,24.981002807617188,0.15000000596046448,0.0038103226873289486,True,6.328676872726646e-05,0.001090671894780826,0.0038103226873289486,0.057372977749764686,,,,0.00957926384666905
natural_rounding_w4_c1.0_step1800,natural_rounding,natural_rounding,4,1.0,1800,30.586490631103516,0.8724151849746704,,25.50881576538086,24.95315170288086,0.15000000596046448,0.0038185263093026833,True,7.310937808142625e-05,0.0010963058128254488,0.0038185263093026833,0.0570185613069043,,,,0.009556937129033827
natural_rounding_w4_c1.0_step1900,natural_rounding,natural_rounding,4,1.0,1900,30.599872589111328,0.8724963068962097,,25.515119552612305,24.938785552978516,0.15000000596046448,0.0038176829615252927,True,6.28566495834093e-05,0.0010910112774581648,0.0038176829615252927,0.05731370319335838,,,,0.009580481605652835
