step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
55,True,,up_blocks.2,0.0,0.0,,,0.08771450072526932,0.0,0.0,0.08771450072526932,0.0,0.0,0.0024532186798751354,0.01
56,True,,up_blocks.2,0.0,0.0,,,0.1139255166053772,0.0,0.0,0.1139255166053772,0.0,0.0,0.0017921957187354565,0.01
57,True,,up_blocks.2,0.0,0.0,,,0.12628567218780518,0.0,0.0,0.12628567218780518,0.0,0.0,0.0019354256801307201,0.01
58,True,,up_blocks.2,0.0,0.0,,,0.1145600825548172,0.0,0.0,0.1145600825548172,0.0,0.0,0.0017272544791921973,0.01
59,True,,up_blocks.3,0.0,0.0,,,0.07538048923015594,0.0,0.0,0.07538048923015594,0.0,0.0,0.0016047620447352529,0.01
60,True,,up_blocks.3,0.0,0.0,,,0.07454186677932739,0.0,0.0,0.07454186677932739,0.0,0.0,0.001639345777221024,0.01
61,True,,up_blocks.3,0.0,0.0,,,0.07111646234989166,0.0,0.0,0.07111646234989166,0.0,0.0,0.0017821589717641473,0.01
62,True,,up_blocks.3,0.0,0.0,,,0.09653431177139282,0.0,0.0,0.09653431177139282,0.0,0.0,0.0017322390340268612,0.01
63,True,,up_blocks.3,0.0,0.0,,,0.14811328053474426,0.0,0.0,0.14811328053474426,0.0,0.0,0.0008749736589379609,0.01
64,True,,up_blocks.3,0.0,0.0,,,0.09315386414527893,0.0,0.0,0.09315386414527893,0.0,0.0,0.001202930579893291,0.01
65,True,,up_blocks.3,0.0,0.0,,,0.08615867793560028,0.0,0.0,0.08615867793560028,0.0,0.0,0.0018839796539396048,0.01
66,True,,up_blocks.3,0.0,0.0,,,0.08889943361282349,0.0,0.0,0.08889943361282349,0.0,0.0,0.001207373570650816,0.01
67,True,,up_blocks.3,0.0,0.0,,,0.0614868588745594,0.0,0.0,0.0614868588745594,0.0,0.0,0.001096626976504922,0.01
68,True,,up_blocks.3,0.0,0.0,,,0.07081498205661774,0.0,0.0,0.07081498205661774,0.0,0.0,0.0011581036960706115,0.01
69,True,,up_blocks.3,0.0,0.0,,,0.07064899802207947,0.0,0.0,0.07064899802207947,0.0,0.0,0.001316622830927372,0.01
70,True,,up_blocks.3,0.0,0.0,,,0.05629853159189224,0.0,0.0,0.05629853159189224,0.0,0.0,0.0018782648257911205,0.01
71,True,,up_blocks.3,0.0,0.0,,,0.0575890988111496,0.0,0.0,0.0575890988111496,0.0,0.0,0.0014069429598748684,0.01
72,True,,up_blocks.3,0.0,0.0,,,0.15178456902503967,0.0,0.0,0.15178456902503967,0.0,0.0,0.0016375425038859248,0.01
73,True,,mid_block,0.0,0.0,,,0.00023387376859318465,0.0,0.0,0.00023387376859318465,0.0,0.0,1.0403518899693154e-05,0.01
